motor_power.measured_dc_voltage_v,motor_power.calculated_dc_current_a,motor_power.motor_current_limit_arms,motor_speed.quadrature_current,motor_speed.direct_current,motor_speed.motor_speed,motor_safety.protection_code,motor_safety.safety_error_code,motor_safety.motor_temp,motor_safety.inverter_bridge_temp,motor_safety.bus_cap_temp,motor_safety.pwm_status,motor_control.current_reference,motor_control.discharge_limit_pct,motor_control.charge_limit_pct,motor_error.motor_state,pedal.pedal_supply_voltage,pedal.pedal_position_pct,pedal.pedal_raw_1,pedal.pedal_raw_2,pedal.tx_value,pedal.use_pedal,motor_prot1.can_timeout_ms,motor_prot1.dc_regen_current_limit_neg_a,motor_prot1.dc_traction_current_limit_a,motor_prot1.stall_protection_type,motor_prot1.stall_protection_time_ms,motor_prot1.stall_protection_current_a,motor_prot1.overspeed_protection_speed_rpm,motor_prot2.max_motor_temp_c,motor_prot2.motor_temp_high_gain_a_per_c,motor_prot2.max_inverter_temp_c,motor_prot2.inverter_temp_high_gain_a_per_c,motor_prot2.id_overcurrent_limit_a,motor_prot2.overvoltage_limit_v,motor_prot2.shutdown_voltage_limit_v
3.000000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-6.000000,-2.000000,-6.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
3.000000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6228.000000,-5.000000,-2.000000,-5.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
3.000000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-4.000000,-2.000000,-4.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
3.000000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-4.000000,-2.000000,-4.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
3.000000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6228.000000,-4.000000,-2.000000,-4.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
3.000000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-5.000000,-2.000000,-5.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
3.000000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6228.000000,-6.000000,-2.000000,-6.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
3.000000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6228.000000,-6.000000,-1.000000,-6.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.875000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6228.000000,-4.000000,-2.000000,-4.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.875000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-4.000000,-2.000000,-4.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.875000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-5.000000,-2.000000,-5.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.875000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6228.000000,-3.000000,-1.000000,-3.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.875000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-5.000000,-2.000000,-5.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.875000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-5.000000,-2.000000,-5.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.875000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6228.000000,-8.000000,-1.000000,-8.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.875000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-7.000000,-2.000000,-7.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.875000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6234.000000,-6.000000,-2.000000,-6.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.875000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-4.000000,-2.000000,-4.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.875000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6228.000000,-4.000000,-2.000000,-4.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.875000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6228.000000,-8.000000,-2.000000,-8.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.875000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6228.000000,-7.000000,-2.000000,-7.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.750000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-5.000000,-2.000000,-5.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.750000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-6.000000,-2.000000,-6.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.750000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-8.000000,-2.000000,-8.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.750000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-4.000000,-2.000000,-4.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.750000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-6.000000,-2.000000,-6.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.750000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-4.000000,-2.000000,-4.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.750000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6228.000000,-3.000000,-2.000000,-3.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.750000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6228.000000,-6.000000,-2.000000,-6.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.750000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6228.000000,-4.000000,-2.000000,-4.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.750000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-6.000000,-2.000000,-6.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.750000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6228.000000,-7.000000,-2.000000,-7.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.750000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6228.000000,-5.000000,-2.000000,-5.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.750000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6234.000000,-2.000000,-2.000000,-1.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.750000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-9.000000,-2.000000,-9.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.750000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6228.000000,-2.000000,-2.000000,-1.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.625000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-7.000000,-2.000000,-7.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.625000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-7.000000,-2.000000,-7.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.625000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-9.000000,-2.000000,-9.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.625000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-4.000000,-2.000000,-4.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.625000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-6.000000,-2.000000,-6.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.625000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-4.000000,-2.000000,-4.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.625000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-5.000000,-2.000000,-5.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.625000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-3.000000,-2.000000,-3.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.625000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6234.000000,-3.000000,-2.000000,-3.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.625000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-5.000000,-2.000000,-5.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.625000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-6.000000,-2.000000,-6.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.625000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6228.000000,-5.000000,-2.000000,-5.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.625000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-4.000000,-2.000000,-4.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.625000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6234.000000,-5.000000,-2.000000,-5.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.625000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6234.000000,-4.000000,-2.000000,-4.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.625000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-2.000000,-2.000000,-2.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.500000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-5.000000,-2.000000,-5.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.625000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-2.000000,-2.000000,-2.000000,0,1,500,280,279,1,248,250,0,110,10,65,15,300,390,80
2.500000,0.000000,0.000000,0.000000,0.000000,0,0,22,55,91,89,0,0,0,0,0,6231.000000,-9.000000,-2.000000,-9.000000,0,1,500,280,279,1,248,250,
